Namespace(att_dim=50, att_head_num=2, att_layer_num=1, batch_size=128, cpnet_vocab_path='./data/ddb/vocab.txt', cuda=True, dataset='medmcqa', debug=False, decoder_lr=0.001, dev_adj='./data/medmcqa/graph/dev.graph.adj.pk', dev_embs='./data/medmcqa/features/dev.cambridgeltl--SapBERT-from-PubMedBERT-fulltext.features.pk', dev_statements='./data/medmcqa/statement/dev.statement.jsonl', diag_decompose=True, dropoutf=0.2, dropoutg=0.1, dropouti=0.1, encoder='./LM_models/cambridgeltl--SapBERT-from-PubMedBERT-fulltext', encoder_layer=-1, encoder_lr=5e-05, ent_emb=['ddb'], ent_emb_paths=['./data/ddb/ent_emb.npy'], eps=1e-15, eval_batch_size=4, fc_dim=200, fc_layer_num=0, fix_trans=False, format=[], freeze_ent_emb=True, gamma=1.0, gnn_dim=100, gnn_layer_num=4, inhouse=False, inhouse_train_qids='./data/medmcqa/inhouse_split_qids.txt', init_identity=True, init_range=0.02, init_rn=True, log_interval=20, loss='cross_entropy', lr_schedule='fixed', max_epochs_before_stop=10, max_grad_norm=1.0, max_node_num=200, max_seq_len=128, mini_batch_size=2, mode='train', n_epochs=100, num_basis=0, num_relation=30, optim='radam', preds_dir='./preds_res/medmcqa/drlk__ds_medmcqa__enc_cambridgeltl--SapBERT-from-PubMedBERT-fulltext__gnn_4__sd_0__20220814_105350/', refreeze_epoch=10000, save_dir='./saved_models/medmcqa/drlk__ds_medmcqa__enc_cambridgeltl--SapBERT-from-PubMedBERT-fulltext__gnn_4__sd_0__20220814_105350/', seed=0, simple=False, subsample=1.0, test_adj='./data/medmcqa/graph/test.graph.adj.pk', test_embs='./data/medmcqa/features/test.cambridgeltl--SapBERT-from-PubMedBERT-fulltext.features.pk', test_statements='./data/medmcqa/statement/test.statement.jsonl', train_adj='./data/medmcqa/graph/train.graph.adj.pk', train_embs='./data/medmcqa/features/train.cambridgeltl--SapBERT-from-PubMedBERT-fulltext.features.pk', train_statements='./data/medmcqa/statement/train.statement.jsonl', unfreeze_epoch=0, use_contextualized=False, warmup_steps=50, weight_decay=0.01)
| num_concepts: 9958 |

loading adj matrices:   0%|          | 0/731288 [00:00<?, ?it/s]/mnt/zm/DRLK/utils/data_utils.py:256: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead. (Triggered internally at  /pytorch/aten/src/ATen/native/IndexingUtils.h:30.)
  node_type_ids[idx, :num_concept][torch.tensor(
/mnt/zm/DRLK/utils/data_utils.py:258: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead. (Triggered internally at  /pytorch/aten/src/ATen/native/IndexingUtils.h:30.)
  node_type_ids[idx, :num_concept][torch.tensor(

loading adj matrices:   8%|▊         | 55222/731288 [00:08<01:48, 6223.21it/s]
loading adj matrices:   8%|▊         | 55852/731288 [00:08<01:48, 6244.09it/s]
loading adj matrices:   8%|▊         | 56481/731288 [00:08<01:47, 6257.71it/s]
loading adj matrices:   8%|▊         | 57107/731288 [00:08<01:48, 6228.58it/s]
loading adj matrices:   8%|▊         | 57730/731288 [00:09<01:48, 6201.00it/s]
loading adj matrices:   8%|▊         | 58351/731288 [00:09<01:48, 6189.04it/s]
loading adj matrices:   8%|▊         | 58974/731288 [00:09<01:48, 6201.11it/s]
loading adj matrices:   8%|▊         | 59595/731288 [00:09<01:49, 6153.13it/s]
loading adj matrices:   8%|▊         | 60214/731288 [00:09<01:48, 6163.55it/s]
loading adj matrices:   8%|▊         | 60841/731288 [00:09<01:48, 6192.11it/s]
loading adj matrices:   8%|▊         | 61462/731288 [00:09<01:48, 6194.74it/s]
loading adj matrices:   8%|▊         | 62082/731288 [00:09<01:48, 6183.63it/s]
loading adj matrices:   9%|▊         | 62702/731288 [00:09<01:48, 6186.03it/s]
loading adj matrices:   9%|▊         | 63323/731288 [00:09<01:47, 6193.01it/s]
loading adj matrices:   9%|▊         | 63943/731288 [00:10<01:48, 6148.09it/s]
loading adj matrices:   9%|▉         | 64562/731288 [00:10<01:48, 6158.29it/s]
loading adj matrices:   9%|▉         | 65186/731288 [00:10<01:47, 6180.36it/s]
loading adj matrices:   9%|▉         | 65805/731288 [00:10<01:48, 6148.09it/s]
loading adj matrices:   9%|▉         | 66420/731288 [00:10<01:48, 6146.34it/s]
loading adj matrices:   9%|▉         | 67038/731288 [00:10<01:47, 6153.93it/s]
loading adj matrices:   9%|▉         | 67654/731288 [00:10<01:47, 6150.71it/s]
loading adj matrices:   9%|▉         | 68270/731288 [00:10<01:48, 6127.54it/s]
loading adj matrices:   9%|▉         | 68887/731288 [00:10<01:47, 6137.77it/s]
loading adj matrices:  10%|▉         | 69501/731288 [00:10<01:47, 6135.73it/s]
loading adj matrices:  10%|▉         | 70115/731288 [00:12<07:43, 1426.95it/s]
loading adj matrices:  10%|▉         | 70683/731288 [00:12<06:04, 1811.27it/s]
loading adj matrices:  10%|▉         | 71272/731288 [00:12<04:49, 2277.24it/s]
loading adj matrices:  10%|▉         | 71869/731288 [00:12<03:55, 2795.49it/s]
loading adj matrices:  10%|▉         | 72460/731288 [00:12<03:18, 3315.32it/s]
loading adj matrices:  10%|▉         | 73059/731288 [00:12<02:51, 3829.40it/s]
loading adj matrices:  10%|█         | 73657/731288 [00:12<02:33, 4291.79it/s]
loading adj matrices:  10%|█         | 74251/731288 [00:12<02:20, 4678.32it/s]
loading adj matrices:  10%|█         | 74840/731288 [00:12<02:11, 4982.97it/s]
loading adj matrices:  10%|█         | 75430/731288 [00:13<02:05, 5223.76it/s]
loading adj matrices:  10%|█         | 76016/731288 [00:13<02:01, 5384.93it/s]
loading adj matrices:  10%|█         | 76600/731288 [00:13<01:58, 5509.85it/s]
loading adj matrices:  11%|█         | 77193/731288 [00:13<01:56, 5629.42it/s]
loading adj matrices:  11%|█         | 77787/731288 [00:13<01:54, 5718.58it/s]
loading adj matrices:  11%|█         | 78376/731288 [00:13<01:53, 5766.33it/s]
loading adj matrices:  11%|█         | 78965/731288 [00:13<01:53, 5751.05it/s]
loading adj matrices:  11%|█         | 79549/731288 [00:13<01:53, 5752.77it/s]
loading adj matrices:  11%|█         | 80135/731288 [00:13<01:52, 5782.74it/s]
loading adj matrices:  11%|█         | 80718/731288 [00:13<01:52, 5773.90it/s]
loading adj matrices:  11%|█         | 81302/731288 [00:14<01:52, 5791.23it/s]
loading adj matrices:  11%|█         | 81884/731288 [00:14<01:52, 5792.54it/s]
loading adj matrices:  11%|█▏        | 82465/731288 [00:14<01:52, 5772.46it/s]
loading adj matrices:  11%|█▏        | 83044/731288 [00:14<01:52, 5764.71it/s]
loading adj matrices:  11%|█▏        | 83627/731288 [00:14<01:52, 5781.64it/s]
loading adj matrices:  12%|█▏        | 84206/731288 [00:14<01:52, 5761.34it/s]
loading adj matrices:  12%|█▏        | 84783/731288 [00:14<01:52, 5739.11it/s]
loading adj matrices:  12%|█▏        | 85358/731288 [00:14<01:52, 5730.51it/s]
loading adj matrices:  12%|█▏        | 85932/731288 [00:14<01:52, 5730.25it/s]
loading adj matrices:  12%|█▏        | 86506/731288 [00:14<01:52, 5712.54it/s]
loading adj matrices:  12%|█▏        | 87078/731288 [00:15<01:53, 5689.87it/s]
loading adj matrices:  12%|█▏        | 87648/731288 [00:15<01:53, 5681.92it/s]
loading adj matrices:  12%|█▏        | 88217/731288 [00:15<01:53, 5665.86it/s]
loading adj matrices:  12%|█▏        | 88787/731288 [00:15<01:53, 5674.68it/s]
loading adj matrices:  12%|█▏        | 89355/731288 [00:15<01:53, 5673.02it/s]
loading adj matrices:  12%|█▏        | 89923/731288 [00:15<01:53, 5671.90it/s]
loading adj matrices:  12%|█▏        | 90491/731288 [00:15<01:53, 5669.41it/s]
loading adj matrices:  12%|█▏        | 91058/731288 [00:15<01:53, 5655.86it/s]
loading adj matrices:  13%|█▎        | 91624/731288 [00:15<01:53, 5640.18it/s]
loading adj matrices:  13%|█▎        | 92194/731288 [00:15<01:53, 5655.05it/s]
loading adj matrices:  13%|█▎        | 92760/731288 [00:16<01:53, 5637.81it/s]
loading adj matrices:  13%|█▎        | 93324/731288 [00:16<01:53, 5614.00it/s]
loading adj matrices:  13%|█▎        | 93886/731288 [00:16<01:53, 5609.34it/s]
loading adj matrices:  13%|█▎        | 94448/731288 [00:16<01:53, 5609.83it/s]
loading adj matrices:  13%|█▎        | 95012/731288 [00:16<01:53, 5616.77it/s]
loading adj matrices:  13%|█▎        | 95574/731288 [00:16<01:53, 5592.35it/s]
loading adj matrices:  13%|█▎        | 96135/731288 [00:16<01:53, 5596.04it/s]
loading adj matrices:  13%|█▎        | 96695/731288 [00:16<01:53, 5590.92it/s]
loading adj matrices:  13%|█▎        | 97255/731288 [00:16<01:53, 5577.25it/s]
loading adj matrices:  13%|█▎        | 97813/731288 [00:17<01:53, 5559.69it/s]
loading adj matrices:  13%|█▎        | 98376/731288 [00:17<01:53, 5577.64it/s]
loading adj matrices:  14%|█▎        | 98938/731288 [00:17<01:53, 5590.08it/s]
loading adj matrices:  14%|█▎        | 99498/731288 [00:17<01:53, 5570.45it/s]
loading adj matrices:  14%|█▎        | 100061/731288 [00:17<01:53, 5585.75it/s]
loading adj matrices:  14%|█▍        | 100621/731288 [00:17<01:52, 5589.08it/s]
loading adj matrices:  14%|█▍        | 101183/731288 [00:17<01:52, 5595.60it/s]
loading adj matrices:  14%|█▍        | 101743/731288 [00:17<01:52, 5577.60it/s]
loading adj matrices:  14%|█▍        | 102302/731288 [00:17<01:52, 5580.93it/s]
loading adj matrices:  14%|█▍        | 102861/731288 [00:17<01:52, 5574.03it/s]
loading adj matrices:  14%|█▍        | 103419/731288 [00:18<01:53, 5547.13it/s]
loading adj matrices:  14%|█▍        | 103977/731288 [00:18<01:52, 5554.29it/s]
loading adj matrices:  14%|█▍        | 104533/731288 [00:18<01:52, 5555.21it/s]
loading adj matrices:  14%|█▍        | 105089/731288 [00:18<01:52, 5555.83it/s]
loading adj matrices:  14%|█▍        | 105645/731288 [00:18<01:52, 5551.24it/s]
loading adj matrices:  15%|█▍        | 106201/731288 [00:18<01:52, 5542.72it/s]
loading adj matrices:  15%|█▍        | 106756/731288 [00:18<01:52, 5539.11it/s]
loading adj matrices:  15%|█▍        | 107315/731288 [00:18<01:52, 5553.17it/s]
loading adj matrices:  15%|█▍        | 107871/731288 [00:18<01:52, 5530.32it/s]
loading adj matrices:  15%|█▍        | 108427/731288 [00:18<01:52, 5538.52it/s]
loading adj matrices:  15%|█▍        | 108981/731288 [00:19<01:52, 5535.76it/s]
loading adj matrices:  15%|█▍        | 109535/731288 [00:19<01:52, 5533.33it/s]
loading adj matrices:  15%|█▌        | 110089/731288 [00:19<01:52, 5498.85it/s]
loading adj matrices:  15%|█▌        | 110640/731288 [00:19<01:52, 5501.21it/s]
loading adj matrices:  15%|█▌        | 111191/731288 [00:19<01:52, 5492.65it/s]
loading adj matrices:  15%|█▌        | 111743/731288 [00:19<01:52, 5498.64it/s]
loading adj matrices:  15%|█▌        | 112293/731288 [00:19<01:52, 5497.31it/s]
loading adj matrices:  15%|█▌        | 112845/731288 [00:19<01:52, 5502.09it/s]
loading adj matrices:  16%|█▌        | 113399/731288 [00:19<01:52, 5512.81it/s]
loading adj matrices:  16%|█▌        | 113954/731288 [00:19<01:51, 5522.12it/s]
loading adj matrices:  16%|█▌        | 114507/731288 [00:20<01:52, 5500.93it/s]
loading adj matrices:  16%|█▌        | 115058/731288 [00:20<01:51, 5503.41it/s]
loading adj matrices:  16%|█▌        | 115609/731288 [00:20<01:51, 5505.06it/s]
loading adj matrices:  16%|█▌        | 116160/731288 [00:20<01:52, 5484.22it/s]
loading adj matrices:  16%|█▌        | 116713/731288 [00:20<01:51, 5494.89it/s]
loading adj matrices:  16%|█▌        | 117264/731288 [00:20<01:51, 5498.41it/s]
loading adj matrices:  16%|█▌        | 117814/731288 [00:20<01:51, 5497.71it/s]
loading adj matrices:  16%|█▌        | 118364/731288 [00:20<01:51, 5484.61it/s]
loading adj matrices:  16%|█▋        | 118915/731288 [00:20<01:51, 5491.03it/s]
loading adj matrices:  16%|█▋        | 119467/731288 [00:20<01:51, 5499.22it/s]
loading adj matrices:  16%|█▋        | 120018/731288 [00:21<01:51, 5501.73it/s]
loading adj matrices:  16%|█▋        | 120569/731288 [00:21<01:51, 5480.04it/s]
loading adj matrices:  17%|█▋        | 121119/731288 [00:21<01:51, 5484.05it/s]
loading adj matrices:  17%|█▋        | 121669/731288 [00:21<01:51, 5486.68it/s]
loading adj matrices:  17%|█▋        | 122221/731288 [00:21<01:50, 5495.67it/s]
loading adj matrices:  17%|█▋        | 122771/731288 [00:21<01:51, 5469.18it/s]
loading adj matrices:  17%|█▋        | 123321/731288 [00:21<01:51, 5476.56it/s]
loading adj matrices:  17%|█▋        | 123869/731288 [00:21<01:50, 5476.02it/s]
loading adj matrices:  17%|█▋        | 124418/731288 [00:21<01:50, 5478.88it/s]
loading adj matrices:  17%|█▋        | 124966/731288 [00:21<01:50, 5469.28it/s]
loading adj matrices:  17%|█▋        | 125516/731288 [00:22<01:50, 5476.99it/s]
loading adj matrices:  17%|█▋        | 126065/731288 [00:22<01:50, 5478.61it/s]
loading adj matrices:  17%|█▋        | 126616/731288 [00:22<01:50, 5486.57it/s]
loading adj matrices:  17%|█▋        | 127165/731288 [00:22<01:50, 5476.86it/s]
loading adj matrices:  17%|█▋        | 127713/731288 [00:22<01:50, 5466.07it/s]
loading adj matrices:  18%|█▊        | 128262/731288 [00:22<01:50, 5473.16it/s]
loading adj matrices:  18%|█▊        | 128810/731288 [00:22<01:50, 5453.09it/s]
loading adj matrices:  18%|█▊        | 129365/731288 [00:22<01:49, 5480.03it/s]
loading adj matrices:  18%|█▊        | 129919/731288 [00:22<01:49, 5496.79it/s]
loading adj matrices:  18%|█▊        | 130470/731288 [00:22<01:49, 5499.48it/s]
loading adj matrices:  18%|█▊        | 131020/731288 [00:23<01:49, 5490.43it/s]
loading adj matrices:  18%|█▊        | 131574/731288 [00:23<01:48, 5503.04it/s]
loading adj matrices:  18%|█▊        | 132125/731288 [00:23<01:49, 5492.31it/s]
loading adj matrices:  18%|█▊        | 132676/731288 [00:23<01:48, 5495.85it/s]
loading adj matrices:  18%|█▊        | 133226/731288 [00:23<01:49, 5479.58it/s]
loading adj matrices:  18%|█▊        | 133774/731288 [00:23<01:49, 5474.06it/s]
loading adj matrices:  18%|█▊        | 134322/731288 [00:23<01:49, 5463.99it/s]
loading adj matrices:  18%|█▊        | 134870/731288 [00:23<01:49, 5466.77it/s]
loading adj matrices:  19%|█▊        | 135417/731288 [00:23<01:49, 5453.96it/s]
loading adj matrices:  19%|█▊        | 135964/731288 [00:23<01:49, 5457.49it/s]
loading adj matrices:  19%|█▊        | 136513/731288 [00:24<01:48, 5464.45it/s]
loading adj matrices:  19%|█▊        | 137060/731288 [00:24<01:48, 5463.70it/s]
loading adj matrices:  19%|█▉        | 137607/731288 [00:24<01:49, 5442.24it/s]
loading adj matrices:  19%|█▉        | 138159/731288 [00:24<01:48, 5462.56it/s]
loading adj matrices:  19%|█▉        | 138706/731288 [00:24<01:48, 5454.43it/s]
loading adj matrices:  19%|█▉        | 139254/731288 [00:24<01:48, 5459.54it/s]
loading adj matrices:  19%|█▉        | 139800/731288 [00:24<01:48, 5431.10it/s]
loading adj matrices:  19%|█▉        | 140346/731288 [00:24<01:48, 5439.14it/s]
loading adj matrices:  19%|█▉        | 140890/731288 [00:24<01:48, 5436.90it/s]
loading adj matrices:  19%|█▉        | 141434/731288 [00:24<01:48, 5425.64it/s]
loading adj matrices:  19%|█▉        | 141981/731288 [00:25<01:48, 5438.67it/s]
loading adj matrices:  19%|█▉        | 142526/731288 [00:25<01:48, 5439.79it/s]
loading adj matrices:  20%|█▉        | 143071/731288 [00:25<01:48, 5441.10it/s]
loading adj matrices:  20%|█▉        | 143616/731288 [00:25<01:48, 5425.73it/s]
loading adj matrices:  20%|█▉        | 144161/731288 [00:25<01:48, 5430.92it/s]
loading adj matrices:  20%|█▉        | 144705/731288 [00:25<01:47, 5432.77it/s]
loading adj matrices:  20%|█▉        | 145249/731288 [00:25<01:47, 5434.01it/s]
loading adj matrices:  20%|█▉        | 145793/731288 [00:25<01:48, 5417.94it/s]
loading adj matrices:  20%|██        | 146343/731288 [00:25<01:47, 5439.41it/s]
loading adj matrices:  20%|██        | 146888/731288 [00:25<01:47, 5442.46it/s]
loading adj matrices:  20%|██        | 147433/731288 [00:26<01:47, 5424.26it/s]
loading adj matrices:  20%|██        | 147978/731288 [00:26<01:47, 5430.95it/s]
loading adj matrices:  20%|██        | 148525/731288 [00:26<01:47, 5441.45it/s]
loading adj matrices:  20%|██        | 149071/731288 [00:26<01:46, 5445.39it/s]
loading adj matrices:  20%|██        | 149617/731288 [00:26<01:46, 5448.21it/s]
loading adj matrices:  21%|██        | 150162/731288 [00:26<01:46, 5432.54it/s]
loading adj matrices:  21%|██        | 150707/731288 [00:26<01:46, 5435.11it/s]
loading adj matrices:  21%|██        | 151251/731288 [00:26<01:47, 5419.19it/s]
loading adj matrices:  21%|██        | 151797/731288 [00:26<01:46, 5429.76it/s]
loading adj matrices:  21%|██        | 152340/731288 [00:26<01:47, 5409.57it/s]
loading adj matrices:  21%|██        | 152884/731288 [00:27<01:46, 5418.23it/s]
loading adj matrices:  21%|██        | 153430/731288 [00:27<01:46, 5430.38it/s]
loading adj matrices:  21%|██        | 153974/731288 [00:27<01:46, 5419.92it/s]
loading adj matrices:  21%|██        | 154519/731288 [00:27<01:46, 5428.38it/s]
loading adj matrices:  21%|██        | 155064/731288 [00:27<01:46, 5433.88it/s]
loading adj matrices:  21%|██▏       | 155608/731288 [00:27<01:46, 5429.92it/s]
loading adj matrices:  21%|██▏       | 156151/731288 [00:27<01:46, 5419.87it/s]
loading adj matrices:  21%|██▏       | 156693/731288 [00:27<01:46, 5418.53it/s]
loading adj matrices:  22%|██▏       | 157236/731288 [00:27<01:45, 5419.70it/s]
loading adj matrices:  22%|██▏       | 157783/731288 [00:27<01:45, 5432.71it/s]
loading adj matrices:  22%|██▏       | 158327/731288 [00:28<01:45, 5423.62it/s]
loading adj matrices:  22%|██▏       | 158872/731288 [00:28<01:45, 5429.21it/s]
